Time (s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.154,-0.049,0.0,0.049,0.024,-0.049,0.024,-0.039,-0.049,-0.166,0.361,-0.088,0.166
0.156,-0.059,-0.015,0.044,0.039,-0.054,0.015,-0.034,-0.044,-0.166,0.361,-0.088,0.166
0.158,-0.068,-0.029,0.039,0.049,-0.054,0.005,-0.029,-0.039,-0.166,0.361,-0.088,0.166
0.16,-0.059,-0.039,0.02,0.049,-0.039,-0.01,-0.029,-0.049,-0.176,0.371,-0.083,0.176
0.162,-0.049,-0.049,0.0,0.049,-0.024,-0.024,-0.029,-0.049,-0.176,0.371,-0.078,0.176
0.164,-0.039,-0.059,-0.02,0.049,-0.01,-0.039,-0.029,-0.049,-0.176,0.371,-0.073,0.176
0.166,-0.029,-0.068,-0.039,0.049,0.005,-0.054,-0.029,-0.049,-0.176,0.371,-0.068,0.176
0.168,-0.029,-0.034,-0.005,0.034,-0.015,-0.02,-0.044,-0.059,-0.176,0.371,-0.078,0.171
0.17,-0.029,0.0,0.029,0.015,-0.029,0.015,-0.049,-0.059,-0.176,0.371,-0.078,0.166
0.172,-0.029,0.034,0.063,0.0,-0.049,0.049,-0.054,-0.059,-0.176,0.371,-0.078,0.161
0.174,-0.029,0.068,0.098,-0.02,-0.063,0.083,-0.059,-0.059,-0.176,0.371,-0.078,0.156
0.176,-0.044,0.034,0.078,0.005,-0.063,0.054,-0.039,-0.039,-0.156,0.381,-0.063,0.166
0.178,-0.059,0.0,0.059,0.029,-0.059,0.029,-0.029,-0.029,-0.146,0.39,-0.059,0.176
0.18,-0.073,-0.034,0.039,0.054,-0.059,0.0,-0.02,-0.02,-0.137,0.4,-0.054,0.185
0.182,-0.088,-0.068,0.02,0.078,-0.054,-0.024,-0.01,-0.01,-0.127,0.41,-0.049,0.195
0.184,-0.068,-0.054,0.015,0.063,-0.044,-0.02,-0.024,-0.02,-0.137,0.4,-0.049,0.185
0.186,-0.059,-0.049,0.01,0.054,-0.034,-0.02,-0.029,-0.02,-0.137,0.4,-0.049,0.185
0.188,-0.049,-0.044,0.005,0.049,-0.029,-0.02,-0.034,-0.02,-0.137,0.4,-0.049,0.185
0.19,-0.039,-0.039,0.0,0.039,-0.02,-0.02,-0.039,-0.02,-0.137,0.4,-0.049,0.185
0.192,-0.034,-0.02,0.015,0.029,-0.024,-0.005,-0.049,-0.029,-0.137,0.4,-0.059,0.181
0.194,-0.029,0.0,0.029,0.015,-0.029,0.015,-0.049,-0.029,-0.137,0.4,-0.059,0.176
0.196,-0.024,0.02,0.044,0.005,-0.034,0.029,-0.049,-0.029,-0.137,0.4,-0.059,0.171
0.198,-0.02,0.039,0.059,-0.01,-0.039,0.049,-0.049,-0.029,-0.137,0.4,-0.059,0.166
0.2,-0.01,0.054,0.063,-0.02,-0.039,0.059,-0.039,-0.01,-0.127,0.41,-0.049,0.181
0.202,-0.01,0.059,0.068,-0.024,-0.039,0.063,-0.029,0.0,-0.117,0.42,-0.039,0.185
0.204,-0.01,0.063,0.073,-0.024,-0.044,0.068,-0.02,0.01,-0.107,0.429,-0.029,0.19
0.206,-0.01,0.068,0.078,-0.029,-0.044,0.073,-0.01,0.02,-0.098,0.439,-0.02,0.195
0.208,-0.01,0.049,0.059,-0.02,-0.034,0.054,0.01,0.029,-0.093,0.439,-0.02,0.195
0.21,-0.01,0.039,0.049,-0.015,-0.029,0.044,0.02,0.039,-0.088,0.439,-0.02,0.195
0.212,-0.01,0.029,0.039,-0.01,-0.024,0.034,0.029,0.049,-0.083,0.439,-0.02,0.195
0.214,-0.01,0.02,0.029,-0.005,-0.02,0.024,0.039,0.059,-0.078,0.439,-0.02,0.195
0.216,-0.01,0.044,0.054,-0.015,-0.034,0.049,0.049,0.078,-0.063,0.454,-0.01,0.205
0.218,-0.01,0.059,0.068,-0.024,-0.039,0.063,0.059,0.088,-0.049,0.468,0.0,0.205
0.22,-0.01,0.073,0.083,-0.029,-0.049,0.078,0.068,0.098,-0.034,0.483,0.01,0.205
0.222,-0.01,0.088,0.098,-0.039,-0.054,0.093,0.078,0.107,-0.02,0.498,0.02,0.205
0.224,-0.015,0.093,0.107,-0.039,-0.063,0.098,0.063,0.102,-0.024,0.483,0.015,0.2
0.226,-0.02,0.098,0.117,-0.039,-0.068,0.107,0.059,0.098,-0.029,0.478,0.01,0.195
0.228,-0.024,0.102,0.127,-0.039,-0.078,0.112,0.054,0.093,-0.034,0.473,0.005,0.19
0.23,-0.029,0.107,0.137,-0.039,-0.083,0.122,0.049,0.088,-0.039,0.468,0.0,0.185
0.232,-0.039,0.093,0.132,-0.024,-0.088,0.112,0.059,0.093,-0.034,0.483,0.005,0.2
0.234,-0.039,0.078,0.117,-0.02,-0.078,0.098,0.059,0.098,-0.029,0.488,0.01,0.205
0.236,-0.039,0.063,0.102,-0.01,-0.073,0.083,0.059,0.102,-0.024,0.493,0.015,0.21
0.238,-0.039,0.049,0.088,-0.005,-0.063,0.068,0.059,0.107,-0.02,0.498,0.02,0.215
0.24,-0.02,0.068,0.088,-0.024,-0.054,0.078,0.054,0.107,-0.029,0.498,0.02,0.21
0.242,-0.01,0.088,0.098,-0.039,-0.054,0.093,0.049,0.107,-0.029,0.498,0.02,0.205
0.244,0.0,0.107,0.107,-0.054,-0.054,0.107,0.044,0.107,-0.029,0.498,0.02,0.2
0.246,0.01,0.127,0.117,-0.068,-0.054,0.122,0.039,0.107,-0.029,0.498,0.02,0.195
0.248,0.024,0.137,0.112,-0.078,-0.044,0.122,0.01,0.098,-0.039,0.493,0.02,0.205
0.25,0.039,0.137,0.098,-0.088,-0.029,0.117,-0.02,0.088,-0.049,0.488,0.02,0.205
0.252,0.054,0.137,0.083,-0.093,-0.015,0.107,-0.049,0.078,-0.059,0.483,0.02,0.205
0.254,0.068,0.137,0.068,-0.102,0.0,0.102,-0.078,0.068,-0.068,0.478,0.02,0.205
0.256,0.059,0.127,0.068,-0.093,-0.005,0.098,-0.112,0.059,-0.073,0.478,0.02,0.21
0.258,0.059,0.117,0.059,-0.088,0.0,0.088,-0.137,0.049,-0.078,0.478,0.02,0.215
0.26,0.059,0.107,0.049,-0.083,0.005,0.078,-0.161,0.039,-0.083,0.478,0.02,0.22
0.262,0.059,0.098,0.039,-0.078,0.01,0.068,-0.185,0.029,-0.088,0.478,0.02,0.224
0.264,0.049,0.112,0.063,-0.078,-0.01,0.088,-0.195,0.01,-0.107,0.464,0.01,0.215
0.266,0.039,0.117,0.078,-0.078,-0.02,0.098,-0.195,0.0,-0.127,0.449,0.0,0.205
0.268,0.029,0.122,0.093,-0.073,-0.034,0.107,-0.195,-0.01,-0.146,0.434,-0.01,0.195
0.27,0.02,0.127,0.107,-0.073,-0.044,0.117,-0.195,-0.02,-0.166,0.42,-0.02,0.185
0.272,0.024,0.137,0.112,-0.078,-0.044,0.122,-0.195,-0.039,-0.181,0.395,-0.034,0.171
0.274,0.029,0.137,0.107,-0.083,-0.039,0.122,-0.195,-0.049,-0.195,0.381,-0.049,0.156
0.276,0.034,0.137,0.102,-0.083,-0.034,0.117,-0.195,-0.059,-0.21,0.366,-0.063,0.142
0.278,0.039,0.137,0.098,-0.088,-0.029,0.117,-0.195,-0.068,-0.224,0.351,-0.078,0.127
0.28,0.029,0.098,0.068,-0.063,-0.02,0.083,-0.181,-0.059,-0.234,0.337,-0.088,0.122
0.282,0.02,0.068,0.049,-0.044,-0.015,0.059,-0.166,-0.059,-0.234,0.332,-0.098,0.117
0.284,0.01,0.039,0.029,-0.024,-0.01,0.034,-0.151,-0.059,-0.234,0.327,-0.107,0.112
0.286,0.0,0.01,0.01,-0.005,-0.005,0.01,-0.137,-0.059,-0.234,0.322,-0.117,0.107
0.288,-0.01,0.015,0.024,0.0,-0.02,0.02,-0.137,-0.049,-0.234,0.327,-0.102,0.107
0.29,-0.01,0.02,0.029,-0.005,-0.02,0.024,-0.137,-0.049,-0.234,0.332,-0.098,0.107
0.292,-0.01,0.024,0.034,-0.005,-0.024,0.029,-0.137,-0.049,-0.234,0.337,-0.093,0.107
0.294,-0.01,0.029,0.039,-0.01,-0.024,0.034,-0.137,-0.049,-0.234,0.342,-0.088,0.107
0.296,-0.024,0.029,0.054,0.0,-0.039,0.039,-0.122,-0.039,-0.215,0.351,-0.078,0.117
0.298,-0.029,0.029,0.059,0.0,-0.044,0.044,-0.107,-0.029,-0.205,0.351,-0.078,0.117
0.3,-0.034,0.029,0.063,0.005,-0.049,0.044,-0.093,-0.02,-0.195,0.351,-0.078,0.117
0.302,-0.039,0.029,0.068,0.005,-0.054,0.049,-0.078,-0.01,-0.185,0.351,-0.078,0.117
0.304,-0.059,0.0,0.059,0.029,-0.059,0.029,-0.059,0.0,-0.185,0.346,-0.088,0.102
0.306,-0.073,-0.024,0.049,0.049,-0.063,0.01,-0.049,0.005,-0.185,0.342,-0.088,0.102
0.308,-0.083,-0.049,0.034,0.068,-0.059,-0.01,-0.039,0.01,-0.185,0.332,-0.088,0.107
0.31,-0.088,-0.083,0.005,0.088,-0.049,-0.039,-0.029,0.01,-0.185,0.327,-0.088,0.107
0.312,-0.107,-0.068,0.039,0.088,-0.073,-0.015,-0.029,0.02,-0.176,0.337,-0.073,0.102
0.314,-0.112,-0.054,0.059,0.083,-0.088,0.0,-0.024,0.02,-0.176,0.342,-0.068,0.098
0.316,-0.117,-0.044,0.073,0.083,-0.098,0.015,-0.024,0.02,-0.176,0.346,-0.063,0.098
0.318,-0.122,-0.029,0.093,0.078,-0.107,0.029,-0.029,0.02,-0.176,0.351,-0.059,0.098
0.32,-0.107,-0.034,0.073,0.073,-0.093,0.02,-0.029,0.01,-0.19,0.332,-0.073,0.088
0.322,-0.088,-0.044,0.044,0.068,-0.068,0.0,-0.029,0.0,-0.2,0.312,-0.083,0.078
0.324,-0.078,-0.059,0.02,0.068,-0.049,-0.02,-0.029,-0.015,-0.215,0.303,-0.093,0.073
0.326,-0.073,-0.073,0.0,0.073,-0.039,-0.039,-0.029,-0.024,-0.22,0.303,-0.107,0.068
0.328,-0.059,-0.073,-0.015,0.068,-0.024,-0.044,-0.029,-0.02,-0.215,0.298,-0.098,0.083
0.33,-0.054,-0.073,-0.02,0.063,-0.02,-0.049,-0.029,-0.01,-0.215,0.298,-0.093,0.083
0.332,-0.049,-0.073,-0.024,0.063,-0.015,-0.049,-0.029,-0.005,-0.215,0.298,-0.088,0.083
0.334,-0.039,-0.073,-0.034,0.059,-0.005,-0.054,-0.029,0.0,-0.22,0.298,-0.083,0.078
0.336,-0.054,-0.054,0.0,0.054,-0.029,-0.029,-0.044,-0.01,-0.229,0.288,-0.093,0.078
0.338,-0.063,-0.049,0.015,0.059,-0.039,-0.02,-0.049,-0.01,-0.224,0.283,-0.088,0.078
0.34,-0.073,-0.044,0.029,0.059,-0.054,-0.01,-0.049,-0.01,-0.224,0.283,-0.083,0.078
0.342,-0.078,-0.024,0.054,0.054,-0.068,0.015,-0.054,-0.005,-0.215,0.293,-0.083,0.083
0.344,-0.063,-0.039,0.024,0.054,-0.044,-0.01,-0.049,0.0,-0.215,0.293,-0.083,0.083
0.346,-0.068,-0.054,0.015,0.063,-0.044,-0.02,-0.044,0.005,-0.215,0.293,-0.083,0.083
0.348,-0.063,-0.059,0.005,0.063,-0.034,-0.029,-0.039,0.015,-0.215,0.283,-0.083,0.078
0.35,-0.044,-0.059,-0.015,0.054,-0.015,-0.039,-0.029,0.02,-0.224,0.283,-0.083,0.078
0.352,-0.059,-0.073,-0.015,0.068,-0.024,-0.044,-0.029,0.015,-0.234,0.273,-0.093,0.088
0.354,-0.068,-0.083,-0.015,0.078,-0.029,-0.049,-0.029,0.015,-0.224,0.278,-0.088,0.093
0.356,-0.073,-0.088,-0.015,0.083,-0.029,-0.054,-0.029,0.015,-0.224,0.278,-0.083,0.093
0.358,-0.078,-0.093,-0.015,0.088,-0.034,-0.054,-0.029,0.015,-0.224,0.278,-0.078,0.098
0.36,-0.093,-0.073,0.02,0.083,-0.059,-0.029,-0.02,0.024,-0.215,0.283,-0.059,0.102
0.362,-0.098,-0.049,0.049,0.073,-0.073,0.0,-0.024,0.024,-0.21,0.293,-0.054,0.102
0.364,-0.098,-0.029,0.068,0.063,-0.083,0.02,-0.024,0.024,-0.205,0.303,-0.049,0.102
0.366,-0.102,-0.005,0.098,0.054,-0.102,0.044,-0.024,0.024,-0.2,0.312,-0.039,0.107
0.368,-0.107,-0.024,0.083,0.068,-0.098,0.029,-0.015,0.034,-0.205,0.288,-0.063,0.107
0.37,-0.112,-0.034,0.078,0.073,-0.098,0.02,-0.015,0.034,-0.21,0.278,-0.073,0.102
0.372,-0.102,-0.044,0.059,0.073,-0.083,0.005,-0.01,0.034,-0.215,0.268,-0.083,0.102
0.374,-0.117,-0.063,0.054,0.093,-0.088,-0.005,-0.01,0.039,-0.215,0.259,-0.083,0.098
0.376,-0.102,-0.073,0.029,0.088,-0.068,-0.024,-0.01,0.024,-0.215,0.259,-0.073,0.098
0.378,-0.088,-0.073,0.015,0.083,-0.054,-0.029,-0.02,0.02,-0.215,0.259,-0.073,0.102
0.38,-0.083,-0.068,0.015,0.078,-0.049,-0.029,-0.024,0.01,-0.224,0.259,-0.073,0.102
0.382,-0.088,-0.068,0.02,0.078,-0.054,-0.024,-0.024,0.005,-0.224,0.254,-0.083,0.098
0.384,-0.078,-0.078,0.0,0.078,-0.039,-0.039,-0.029,0.005,-0.21,0.254,-0.083,0.088
0.386,-0.068,-0.078,-0.01,0.073,-0.029,-0.044,-0.029,0.005,-0.21,0.259,-0.083,0.098
0.388,-0.078,-0.078,0.0,0.078,-0.039,-0.039,-0.029,0.01,-0.21,0.268,-0.078,0.102
0.39,-0.078,-0.078,0.0,0.078,-0.039,-0.039,-0.029,0.01,-0.205,0.268,-0.073,0.102
0.392,-0.068,-0.059,0.01,0.063,-0.039,-0.024,-0.034,0.005,-0.21,0.254,-0.078,0.098
0.394,-0.054,-0.049,0.005,0.054,-0.029,-0.024,-0.039,0.0,-0.215,0.249,-0.083,0.093
0.396,-0.039,-0.034,0.005,0.039,-0.024,-0.015,-0.044,-0.005,-0.22,0.239,-0.088,0.088
0.398,-0.024,-0.02,0.005,0.024,-0.015,-0.01,-0.049,-0.01,-0.224,0.234,-0.093,0.083
0.4,-0.039,-0.034,0.005,0.039,-0.024,-0.015,-0.044,-0.005,-0.215,0.239,-0.093,0.093
0.402,-0.044,-0.049,-0.005,0.049,-0.02,-0.029,-0.039,0.0,-0.215,0.239,-0.093,0.093
0.404,-0.044,-0.054,-0.01,0.049,-0.02,-0.034,-0.034,0.005,-0.215,0.239,-0.088,0.098
0.406,-0.049,-0.059,-0.01,0.054,-0.02,-0.034,-0.029,0.015,-0.21,0.244,-0.088,0.098
0.408,-0.059,-0.054,0.005,0.059,-0.034,-0.024,-0.029,0.015,-0.21,0.234,-0.098,0.093
0.41,-0.049,-0.044,0.005,0.049,-0.029,-0.02,-0.029,0.015,-0.21,0.234,-0.098,0.093
0.412,-0.049,-0.039,0.01,0.044,-0.029,-0.015,-0.029,0.015,-0.21,0.234,-0.098,0.093
0.414,-0.049,-0.034,0.015,0.044,-0.034,-0.01,-0.029,0.015,-0.21,0.234,-0.098,0.093
0.416,-0.059,-0.044,0.015,0.054,-0.039,-0.015,-0.02,0.02,-0.205,0.244,-0.093,0.098
0.418,-0.059,-0.044,0.015,0.054,-0.039,-0.015,-0.02,0.024,-0.195,0.244,-0.088,0.102
0.42,-0.068,-0.068,0.0,0.068,-0.034,-0.034,-0.02,0.029,-0.19,0.249,-0.083,0.102
0.422,-0.078,-0.078,0.0,0.078,-0.039,-0.039,-0.02,0.034,-0.19,0.249,-0.078,0.107
0.424,-0.073,-0.054,0.02,0.063,-0.049,-0.02,-0.02,0.024,-0.2,0.229,-0.083,0.102
0.426,-0.073,-0.039,0.034,0.059,-0.054,-0.005,-0.02,0.024,-0.195,0.224,-0.083,0.098
0.428,-0.083,-0.024,0.059,0.054,-0.073,0.015,-0.02,0.024,-0.19,0.215,-0.088,0.093
0.43,-0.063,-0.01,0.054,0.039,-0.059,0.02,-0.02,0.024,-0.185,0.205,-0.098,0.088
0.432,-0.049,-0.029,0.02,0.039,-0.034,-0.005,-0.029,0.034,-0.176,0.215,-0.098,0.093
0.434,-0.054,-0.049,0.005,0.054,-0.029,-0.024,-0.034,0.039,-0.176,0.215,-0.093,0.102
0.436,-0.049,-0.063,-0.015,0.059,-0.02,-0.039,-0.034,0.039,-0.176,0.215,-0.093,0.112
0.438,-0.044,-0.083,-0.039,0.063,-0.005,-0.063,-0.034,0.034,-0.176,0.21,-0.093,0.117
0.44,-0.044,-0.059,-0.015,0.054,-0.015,-0.039,-0.044,0.024,-0.176,0.205,-0.093,0.102
0.442,-0.049,-0.044,0.005,0.049,-0.029,-0.02,-0.044,0.029,-0.181,0.2,-0.098,0.098
0.444,-0.049,-0.029,0.02,0.039,-0.034,-0.005,-0.044,0.029,-0.185,0.2,-0.102,0.093
0.446,-0.049,-0.024,0.024,0.039,-0.039,0.0,-0.044,0.029,-0.19,0.2,-0.102,0.088
0.448,-0.054,-0.034,0.02,0.044,-0.039,-0.01,-0.029,0.029,-0.176,0.205,-0.098,0.088
0.45,-0.068,-0.039,0.029,0.054,-0.049,-0.005,-0.02,0.034,-0.171,0.205,-0.098,0.093
0.452,-0.073,-0.049,0.024,0.063,-0.049,-0.015,-0.005,0.039,-0.166,0.205,-0.098,0.098
0.454,-0.078,-0.054,0.024,0.068,-0.054,-0.015,0.01,0.044,-0.161,0.205,-0.093,0.102
0.456,-0.049,0.015,0.063,0.02,-0.059,0.039,0.01,0.054,-0.151,0.224,-0.073,0.122
0.458,-0.049,0.039,0.088,0.005,-0.068,0.063,-0.015,0.034,-0.171,0.205,-0.083,0.127
0.46,-0.088,-0.01,0.078,0.049,-0.083,0.034,-0.034,0.024,-0.171,0.205,-0.068,0.151
0.462,-0.098,-0.029,0.068,0.063,-0.083,0.02,-0.034,0.073,-0.112,0.264,-0.02,0.2
0.464,-0.049,0.044,0.093,0.005,-0.073,0.068,-0.034,0.205,0.039,0.386,0.098,0.312
0.466,-0.015,0.088,0.102,-0.034,-0.059,0.093,-0.02,0.405,0.244,0.542,0.234,0.429
0.468,0.0,0.068,0.068,-0.034,-0.034,0.068,0.005,0.605,0.454,0.698,0.337,0.517
0.47,0.029,0.093,0.063,-0.059,-0.02,0.078,0.034,0.756,0.595,0.795,0.415,0.586
0.472,0.044,0.161,0.117,-0.102,-0.039,0.137,0.059,0.781,0.605,0.82,0.468,0.649
0.474,0.005,0.21,0.205,-0.107,-0.102,0.205,0.083,0.693,0.503,0.771,0.468,0.698
0.476,-0.034,0.195,0.229,-0.078,-0.132,0.21,0.093,0.537,0.293,0.625,0.39,0.703
0.478,-0.049,0.181,0.229,-0.063,-0.142,0.205,0.112,0.239,-0.044,0.386,0.264,0.678
0.48,-0.044,0.22,0.264,-0.088,-0.156,0.239,0.078,-0.215,-0.468,0.137,0.156,0.693
0.482,-0.034,0.278,0.312,-0.122,-0.176,0.293,0.02,-0.659,-0.839,-0.039,0.102,0.742
