Time (s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.04,-0.224,-0.303,-0.078,0.264,-0.073,-0.19,0.83,1.098,0.878,0.41,-0.278,-0.551
0.042,-0.264,-0.342,-0.078,0.303,-0.093,-0.21,0.82,1.098,0.883,0.42,-0.244,-0.561
0.044,-0.239,-0.317,-0.078,0.278,-0.083,-0.2,0.83,1.108,0.898,0.444,-0.244,-0.561
0.046,-0.205,-0.298,-0.093,0.254,-0.059,-0.195,0.859,1.127,0.927,0.459,-0.273,-0.571
0.048,-0.229,-0.342,-0.112,0.288,-0.059,-0.229,0.839,1.132,0.937,0.478,-0.278,-0.561
0.05,-0.224,-0.366,-0.142,0.298,-0.044,-0.254,0.83,1.127,0.932,0.483,-0.283,-0.561
0.052,-0.21,-0.342,-0.132,0.278,-0.039,-0.239,0.825,1.113,0.932,0.483,-0.283,-0.547
0.054,-0.2,-0.322,-0.122,0.264,-0.039,-0.224,0.839,1.118,0.942,0.508,-0.268,-0.547
0.056,-0.19,-0.288,-0.098,0.239,-0.049,-0.195,0.83,1.113,0.937,0.517,-0.259,-0.542
0.058,-0.19,-0.264,-0.073,0.229,-0.059,-0.171,0.815,1.108,0.947,0.532,-0.249,-0.542
0.06,-0.2,-0.249,-0.049,0.224,-0.078,-0.151,0.815,1.103,0.961,0.547,-0.249,-0.547
0.062,-0.19,-0.22,-0.029,0.205,-0.083,-0.127,0.8,1.093,0.966,0.551,-0.215,-0.547
0.064,-0.181,-0.215,-0.034,0.2,-0.073,-0.127,0.795,1.083,0.961,0.547,-0.229,-0.561
0.066,-0.2,-0.249,-0.049,0.224,-0.078,-0.151,0.791,1.083,0.952,0.556,-0.254,-0.561
0.068,-0.185,-0.278,-0.093,0.234,-0.049,-0.185,0.795,1.083,0.956,0.581,-0.244,-0.527
0.07,-0.156,-0.303,-0.146,0.229,-0.005,-0.224,0.791,1.083,0.966,0.6,-0.22,-0.478
0.072,-0.142,-0.288,-0.146,0.215,0.0,-0.22,0.776,1.083,0.966,0.615,-0.195,-0.444
0.074,-0.137,-0.268,-0.132,0.205,-0.005,-0.2,0.756,1.064,0.956,0.615,-0.181,-0.434
0.076,-0.132,-0.244,-0.112,0.19,-0.01,-0.181,0.732,1.039,0.942,0.63,-0.161,-0.415
0.078,-0.117,-0.2,-0.083,0.161,-0.02,-0.142,0.708,1.01,0.937,0.63,-0.142,-0.4
0.08,-0.093,-0.166,-0.073,0.132,-0.01,-0.122,0.698,0.996,0.937,0.659,-0.122,-0.376
0.082,-0.088,-0.142,-0.054,0.117,-0.02,-0.098,0.673,0.986,0.932,0.669,-0.088,-0.366
0.084,-0.112,-0.156,-0.044,0.137,-0.034,-0.102,0.644,0.947,0.898,0.625,-0.117,-0.395
0.086,-0.132,-0.21,-0.078,0.171,-0.029,-0.146,0.625,0.927,0.869,0.6,-0.161,-0.415
0.088,-0.102,-0.176,-0.073,0.142,-0.015,-0.127,0.644,0.922,0.874,0.625,-0.151,-0.381
0.09,-0.068,-0.151,-0.083,0.112,0.005,-0.117,0.62,0.903,0.864,0.625,-0.137,-0.356
0.092,-0.059,-0.142,-0.083,0.102,0.01,-0.112,0.581,0.874,0.839,0.63,-0.127,-0.346
0.094,-0.049,-0.127,-0.078,0.088,0.015,-0.102,0.561,0.844,0.82,0.615,-0.122,-0.346
0.096,-0.068,-0.142,-0.073,0.107,0.0,-0.107,0.532,0.805,0.781,0.605,-0.107,-0.332
0.098,-0.073,-0.146,-0.073,0.112,0.0,-0.112,0.508,0.776,0.756,0.59,-0.088,-0.312
0.1,-0.063,-0.137,-0.073,0.102,0.005,-0.107,0.488,0.742,0.727,0.581,-0.078,-0.293
0.102,-0.039,-0.088,-0.049,0.063,0.005,-0.068,0.464,0.717,0.712,0.571,-0.024,-0.264
0.104,-0.059,-0.093,-0.034,0.078,-0.015,-0.063,0.439,0.688,0.683,0.566,-0.039,-0.264
0.106,-0.044,-0.088,-0.044,0.068,0.0,-0.068,0.42,0.654,0.664,0.547,-0.078,-0.264
0.108,-0.029,-0.073,-0.044,0.054,0.005,-0.059,0.4,0.63,0.639,0.547,-0.083,-0.249
0.11,-0.01,-0.063,-0.054,0.039,0.02,-0.059,0.376,0.595,0.605,0.522,-0.088,-0.234
0.112,0.015,-0.029,-0.044,0.01,0.029,-0.039,0.356,0.576,0.576,0.503,-0.088,-0.224
0.114,-0.024,-0.054,-0.029,0.039,0.0,-0.044,0.322,0.522,0.522,0.459,-0.117,-0.239
0.116,-0.034,-0.049,-0.015,0.044,-0.01,-0.034,0.293,0.478,0.483,0.429,-0.122,-0.229
0.118,-0.024,-0.029,-0.005,0.029,-0.01,-0.02,0.288,0.464,0.473,0.42,-0.098,-0.21
0.12,-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.273,0.429,0.434,0.4,-0.117,-0.185
0.122,0.005,0.0,-0.005,0.0,0.005,-0.005,0.249,0.405,0.405,0.381,-0.073,-0.171
0.124,0.0,0.01,0.01,-0.005,-0.005,0.01,0.239,0.386,0.395,0.371,-0.078,-0.161
0.126,0.02,0.015,-0.005,-0.015,0.01,0.005,0.234,0.376,0.381,0.361,-0.117,-0.161
0.128,0.034,0.015,-0.02,-0.024,0.024,-0.005,0.224,0.351,0.361,0.346,-0.132,-0.156
0.13,0.02,0.0,-0.02,-0.01,0.02,-0.01,0.21,0.332,0.342,0.337,-0.142,-0.146
0.132,0.034,0.015,-0.02,-0.024,0.024,-0.005,0.19,0.312,0.327,0.317,-0.137,-0.127
0.134,0.034,0.029,-0.005,-0.029,0.02,0.01,0.181,0.278,0.278,0.283,-0.166,-0.142
0.136,0.005,0.01,0.005,-0.005,0.0,0.005,0.156,0.249,0.244,0.249,-0.181,-0.161
0.138,-0.005,0.01,0.015,0.0,-0.01,0.01,0.142,0.224,0.224,0.229,-0.176,-0.171
0.14,0.0,0.024,0.024,-0.01,-0.015,0.024,0.142,0.215,0.215,0.21,-0.19,-0.161
0.142,-0.01,0.02,0.029,-0.005,-0.02,0.024,0.127,0.205,0.21,0.2,-0.161,-0.142
0.144,0.005,0.015,0.01,-0.01,-0.005,0.01,0.112,0.19,0.195,0.19,-0.176,-0.142
0.146,0.02,0.005,-0.015,-0.01,0.015,-0.005,0.098,0.176,0.176,0.181,-0.21,-0.146
0.148,0.015,0.01,-0.005,-0.01,0.01,0.0,0.093,0.166,0.166,0.181,-0.205,-0.127
0.15,0.02,0.005,-0.015,-0.01,0.015,-0.005,0.093,0.137,0.146,0.156,-0.21,-0.122
0.152,0.015,0.02,0.005,-0.015,0.005,0.01,0.098,0.137,0.132,0.137,-0.2,-0.117
0.154,0.01,0.024,0.015,-0.015,-0.005,0.02,0.102,0.137,0.122,0.132,-0.205,-0.122
0.156,0.01,0.029,0.02,-0.02,-0.005,0.024,0.083,0.122,0.107,0.112,-0.21,-0.127
0.158,-0.015,0.02,0.034,0.0,-0.024,0.024,0.073,0.102,0.102,0.093,-0.215,-0.146
0.16,-0.039,0.0,0.039,0.02,-0.039,0.02,0.054,0.078,0.078,0.078,-0.229,-0.156
0.162,-0.044,0.0,0.044,0.024,-0.044,0.02,0.044,0.063,0.059,0.054,-0.215,-0.166
0.164,-0.024,0.015,0.039,0.005,-0.034,0.024,0.039,0.063,0.063,0.044,-0.224,-0.176
0.166,-0.01,0.005,0.015,0.005,-0.015,0.01,0.044,0.073,0.059,0.039,-0.249,-0.181
0.168,0.0,-0.005,-0.005,0.005,0.0,-0.005,0.059,0.073,0.054,0.044,-0.259,-0.176
0.17,0.0,-0.02,-0.02,0.01,0.01,-0.02,0.068,0.073,0.054,0.049,-0.249,-0.156
0.172,-0.029,-0.039,-0.01,0.034,-0.01,-0.024,0.063,0.073,0.049,0.049,-0.234,-0.156
0.174,-0.029,-0.044,-0.015,0.039,-0.01,-0.029,0.054,0.059,0.029,0.034,-0.239,-0.156
0.176,-0.02,-0.034,-0.015,0.029,-0.005,-0.024,0.044,0.054,0.034,0.039,-0.215,-0.142
0.178,-0.005,-0.01,-0.005,0.01,0.0,-0.01,0.039,0.049,0.024,0.034,-0.2,-0.146
0.18,-0.01,0.015,0.024,0.0,-0.02,0.02,0.039,0.049,0.02,0.034,-0.21,-0.146
0.182,-0.024,0.015,0.039,0.005,-0.034,0.024,0.034,0.029,0.0,0.015,-0.195,-0.171
0.184,0.0,0.034,0.034,-0.015,-0.02,0.034,0.039,0.039,0.01,0.015,-0.2,-0.181
0.186,0.005,0.029,0.024,-0.015,-0.01,0.024,0.054,0.049,0.01,0.024,-0.22,-0.185
0.188,0.0,0.015,0.015,-0.005,-0.01,0.015,0.039,0.049,0.0,0.005,-0.239,-0.2
0.19,0.015,0.01,-0.005,-0.01,0.01,0.0,0.044,0.049,0.0,0.005,-0.234,-0.195
0.192,-0.005,-0.015,-0.01,0.01,0.0,-0.015,0.054,0.054,0.005,0.005,-0.215,-0.181
0.194,-0.029,-0.024,0.005,0.029,-0.02,-0.01,0.054,0.054,0.005,0.005,-0.21,-0.181
0.196,-0.02,-0.015,0.005,0.02,-0.015,-0.005,0.049,0.044,0.005,0.01,-0.185,-0.166
0.198,0.024,0.015,-0.01,-0.02,0.015,0.0,0.034,0.049,0.015,0.024,-0.156,-0.151
0.2,-0.049,-0.039,0.01,0.044,-0.029,-0.015,0.02,0.039,-0.01,0.015,-0.176,-0.166
0.202,-0.049,-0.029,0.02,0.039,-0.034,-0.005,0.034,0.044,0.005,0.02,-0.132,-0.151
0.204,-0.02,0.0,0.02,0.01,-0.02,0.01,0.024,0.049,0.005,0.015,-0.156,-0.171
0.206,-0.005,-0.015,-0.01,0.01,0.0,-0.015,0.024,0.039,-0.005,0.0,-0.21,-0.19
0.208,-0.01,-0.005,0.005,0.01,-0.01,0.0,0.049,0.063,0.01,0.005,-0.21,-0.181
0.21,-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.044,0.054,0.005,-0.005,-0.224,-0.19
0.212,-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.039,0.054,-0.01,-0.015,-0.229,-0.185
0.214,-0.049,-0.044,0.005,0.049,-0.029,-0.02,0.034,0.049,-0.005,-0.005,-0.215,-0.181
0.216,-0.068,-0.044,0.024,0.059,-0.049,-0.01,0.01,0.039,0.0,0.0,-0.2,-0.176
0.218,-0.015,0.01,0.024,0.005,-0.02,0.015,0.02,0.044,0.005,0.0,-0.185,-0.185
0.22,-0.005,0.02,0.024,-0.005,-0.015,0.02,0.015,0.039,-0.005,-0.005,-0.205,-0.19
0.222,-0.005,0.034,0.039,-0.015,-0.024,0.034,0.015,0.049,0.0,0.005,-0.166,-0.185
0.224,-0.02,0.034,0.054,-0.005,-0.039,0.044,0.005,0.034,-0.01,-0.005,-0.181,-0.19
0.226,-0.02,-0.01,0.01,0.015,-0.015,0.0,0.015,0.044,-0.01,-0.01,-0.215,-0.185
0.228,-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.044,0.063,0.015,0.015,-0.195,-0.166
0.23,-0.024,-0.049,-0.024,0.039,0.0,-0.039,0.054,0.068,0.02,0.02,-0.19,-0.161
0.232,-0.024,-0.059,-0.034,0.044,0.005,-0.049,0.029,0.059,0.02,0.015,-0.185,-0.151
0.234,-0.02,-0.049,-0.029,0.034,0.005,-0.039,0.029,0.059,0.024,0.024,-0.166,-0.146
0.236,-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.024,0.049,0.015,0.02,-0.171,-0.166
0.238,-0.02,-0.024,-0.005,0.024,-0.01,-0.015,0.02,0.049,0.01,0.015,-0.171,-0.176
0.24,-0.024,-0.044,-0.02,0.034,-0.005,-0.034,0.02,0.054,0.005,0.01,-0.176,-0.181
0.242,-0.02,-0.01,0.01,0.015,-0.015,0.0,0.01,0.044,0.005,0.005,-0.146,-0.185
0.244,-0.015,0.01,0.024,0.005,-0.02,0.015,0.0,0.039,0.005,0.005,-0.156,-0.195
0.246,0.01,0.015,0.005,-0.01,0.0,0.01,0.015,0.054,0.015,0.015,-0.171,-0.185
0.248,0.015,0.01,-0.005,-0.01,0.01,0.0,0.024,0.063,0.02,0.024,-0.171,-0.176
0.25,-0.024,-0.029,-0.005,0.029,-0.01,-0.02,0.024,0.059,0.024,0.024,-0.171,-0.171
0.252,-0.063,-0.059,0.005,0.063,-0.034,-0.029,0.01,0.054,0.005,0.005,-0.181,-0.181
0.254,-0.063,-0.044,0.02,0.054,-0.044,-0.015,0.015,0.049,-0.005,-0.005,-0.181,-0.181
0.256,-0.049,-0.034,0.015,0.044,-0.034,-0.01,0.015,0.049,0.01,0.005,-0.156,-0.166
0.258,-0.054,-0.034,0.02,0.044,-0.039,-0.01,0.015,0.054,0.015,0.005,-0.146,-0.171
0.26,-0.054,-0.059,-0.005,0.059,-0.024,-0.034,0.024,0.059,0.01,-0.005,-0.146,-0.176
0.262,-0.049,-0.044,0.005,0.049,-0.029,-0.02,0.01,0.044,0.01,0.005,-0.112,-0.181
0.264,-0.029,-0.015,0.015,0.024,-0.024,0.0,0.02,0.059,0.024,0.024,-0.112,-0.19
0.266,-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.034,0.068,0.029,0.024,-0.137,-0.2
0.268,-0.005,-0.034,-0.029,0.02,0.01,-0.034,0.034,0.063,0.029,0.024,-0.137,-0.19
0.27,-0.005,-0.029,-0.024,0.02,0.01,-0.029,0.039,0.073,0.039,0.034,-0.132,-0.19
0.272,-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.029,0.059,0.02,0.015,-0.137,-0.2
0.274,-0.024,-0.029,-0.005,0.029,-0.01,-0.02,0.039,0.063,0.024,0.029,-0.132,-0.195
0.276,-0.029,-0.024,0.005,0.029,-0.02,-0.01,0.029,0.049,0.015,0.005,-0.132,-0.215
0.278,-0.034,-0.024,0.01,0.029,-0.024,-0.01,-0.01,0.029,-0.01,-0.01,-0.146,-0.244
0.28,-0.044,-0.039,0.005,0.044,-0.024,-0.02,-0.02,0.024,-0.02,-0.01,-0.176,-0.268
0.282,-0.044,-0.01,0.034,0.029,-0.039,0.01,0.0,0.034,-0.005,0.005,-0.127,-0.264
0.284,-0.068,-0.024,0.044,0.049,-0.059,0.01,0.0,0.034,-0.01,0.0,-0.132,-0.273
0.286,-0.049,-0.034,0.015,0.044,-0.034,-0.01,0.015,0.044,-0.005,0.005,-0.156,-0.268
0.288,-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.029,0.063,0.015,0.015,-0.142,-0.239
0.29,-0.005,-0.044,-0.039,0.024,0.015,-0.044,0.029,0.068,0.015,0.034,-0.132,-0.22
0.292,0.0,-0.024,-0.024,0.015,0.01,-0.024,0.02,0.054,0.01,0.029,-0.112,-0.22
0.294,-0.063,-0.078,-0.015,0.073,-0.024,-0.049,-0.005,0.029,-0.015,0.01,-0.132,-0.229
0.296,-0.073,-0.068,0.005,0.073,-0.039,-0.034,-0.01,0.024,-0.005,0.015,-0.127,-0.229
0.298,-0.049,-0.015,0.034,0.034,-0.044,0.01,-0.005,0.039,0.0,0.029,-0.112,-0.224
0.3,-0.039,0.01,0.049,0.015,-0.044,0.029,0.0,0.034,-0.015,0.015,-0.132,-0.239
0.302,0.0,0.068,0.068,-0.034,-0.034,0.068,0.024,0.059,0.02,0.034,-0.088,-0.21
0.304,-0.015,0.059,0.073,-0.02,-0.044,0.063,0.02,0.049,0.015,0.034,-0.098,-0.224
0.306,-0.049,0.0,0.049,0.024,-0.049,0.024,0.024,0.049,0.015,0.029,-0.132,-0.234
0.308,-0.02,0.01,0.029,0.005,-0.024,0.02,0.029,0.059,0.024,0.044,-0.127,-0.21
0.31,-0.034,0.015,0.049,0.01,-0.044,0.029,0.029,0.059,0.029,0.049,-0.112,-0.195
0.312,-0.024,0.039,0.063,-0.005,-0.044,0.049,0.039,0.059,0.024,0.044,-0.117,-0.2
0.314,-0.029,0.044,0.073,-0.005,-0.054,0.059,0.034,0.049,0.01,0.034,-0.112,-0.19
0.316,-0.029,0.049,0.078,-0.01,-0.054,0.063,0.024,0.039,-0.005,0.015,-0.107,-0.19
0.318,-0.01,0.078,0.088,-0.034,-0.049,0.083,0.039,0.054,0.005,0.029,-0.093,-0.181
0.32,-0.01,0.049,0.059,-0.02,-0.034,0.054,0.034,0.049,0.005,0.02,-0.102,-0.19
0.322,-0.029,0.029,0.059,0.0,-0.044,0.044,0.02,0.034,-0.005,0.01,-0.088,-0.19
0.324,-0.024,0.039,0.063,-0.005,-0.044,0.049,0.01,0.039,0.005,0.01,-0.102,-0.19
0.326,0.02,0.068,0.049,-0.044,-0.015,0.059,0.015,0.044,0.015,0.024,-0.117,-0.185
0.328,0.015,0.054,0.039,-0.034,-0.015,0.044,0.005,0.049,0.034,0.049,-0.098,-0.161
0.33,-0.005,0.039,0.044,-0.015,-0.024,0.039,-0.015,0.039,0.034,0.054,-0.093,-0.161
0.332,0.01,0.049,0.039,-0.029,-0.015,0.044,-0.049,0.015,0.02,0.049,-0.102,-0.176
0.334,0.044,0.107,0.063,-0.073,-0.01,0.083,-0.054,0.01,0.01,0.044,-0.098,-0.156
0.336,0.015,0.112,0.098,-0.063,-0.044,0.102,-0.068,-0.005,-0.005,0.024,-0.093,-0.156
0.338,0.005,0.117,0.112,-0.059,-0.054,0.112,-0.088,-0.02,-0.01,0.02,-0.098,-0.166
0.34,0.024,0.112,0.088,-0.068,-0.034,0.098,-0.078,-0.015,-0.01,0.024,-0.088,-0.146
0.342,0.015,0.112,0.098,-0.063,-0.044,0.102,-0.073,-0.005,0.0,0.029,-0.054,-0.117
0.344,0.005,0.093,0.088,-0.049,-0.044,0.088,-0.063,0.005,0.01,0.044,-0.049,-0.102
0.346,0.02,0.073,0.054,-0.044,-0.02,0.063,-0.049,0.015,0.02,0.059,-0.068,-0.083
0.348,0.063,0.073,0.01,-0.068,0.024,0.039,-0.044,0.029,0.039,0.078,-0.049,-0.054
0.35,0.068,0.068,0.0,-0.068,0.034,0.034,-0.054,0.039,0.054,0.098,-0.044,-0.034
0.352,0.068,0.073,0.005,-0.068,0.029,0.039,-0.034,0.049,0.068,0.107,-0.015,-0.02
0.354,0.073,0.102,0.029,-0.088,0.02,0.063,-0.029,0.054,0.073,0.107,-0.005,-0.02
0.356,0.059,0.112,0.054,-0.083,0.0,0.083,-0.039,0.044,0.059,0.098,0.0,-0.024
0.358,0.054,0.127,0.073,-0.088,-0.01,0.098,-0.054,0.034,0.049,0.078,-0.01,-0.044
0.36,0.049,0.088,0.039,-0.068,0.005,0.063,-0.054,0.02,0.034,0.059,-0.034,-0.078
0.362,0.059,0.083,0.024,-0.068,0.015,0.054,-0.059,0.015,0.024,0.039,-0.034,-0.107
0.364,0.005,0.039,0.034,-0.02,-0.015,0.034,-0.068,-0.01,-0.005,0.01,-0.083,-0.166
0.366,0.005,0.024,0.02,-0.015,-0.01,0.02,-0.078,-0.024,-0.01,0.005,-0.127,-0.181
0.368,0.015,0.0,-0.015,-0.005,0.015,-0.01,-0.083,-0.029,-0.024,-0.02,-0.146,-0.2
0.37,0.02,-0.015,-0.034,0.0,0.024,-0.024,-0.054,-0.024,-0.044,-0.039,-0.166,-0.195
0.372,0.02,-0.049,-0.068,0.015,0.044,-0.059,-0.039,-0.024,-0.049,-0.039,-0.142,-0.185
0.374,0.0,-0.068,-0.068,0.034,0.034,-0.068,-0.049,-0.024,-0.044,-0.044,-0.137,-0.166
0.376,0.01,-0.01,-0.02,0.0,0.015,-0.015,-0.02,-0.005,-0.02,-0.015,-0.098,-0.122
0.378,0.0,0.015,0.015,-0.005,-0.01,0.015,-0.01,0.005,-0.02,-0.01,-0.078,-0.122
0.38,-0.015,0.02,0.034,0.0,-0.024,0.024,-0.005,0.005,-0.01,0.0,-0.083,-0.127
0.382,-0.029,0.039,0.068,-0.005,-0.049,0.054,-0.015,0.01,0.005,0.015,-0.044,-0.117
0.384,-0.029,0.054,0.083,-0.01,-0.059,0.068,-0.024,-0.015,-0.029,-0.015,-0.078,-0.151
0.386,0.005,0.078,0.073,-0.039,-0.034,0.073,-0.005,0.005,-0.024,-0.024,-0.122,-0.171
0.388,0.034,0.088,0.054,-0.059,-0.01,0.068,0.005,0.01,-0.015,-0.015,-0.127,-0.161
0.39,0.044,0.088,0.044,-0.063,0.0,0.063,0.024,0.02,-0.01,-0.01,-0.132,-0.166
0.392,-0.01,0.0,0.01,0.005,-0.01,0.005,0.015,0.005,-0.029,-0.034,-0.137,-0.171
0.394,-0.073,-0.073,0.0,0.073,-0.039,-0.039,-0.005,-0.015,-0.044,-0.054,-0.137,-0.185
0.396,-0.078,-0.078,0.0,0.078,-0.039,-0.039,-0.029,-0.029,-0.044,-0.049,-0.127,-0.185
0.398,-0.059,-0.039,0.02,0.049,-0.039,-0.01,-0.029,-0.024,-0.049,-0.039,-0.112,-0.19
0.4,-0.044,-0.015,0.029,0.029,-0.039,0.005,-0.024,-0.024,-0.039,-0.024,-0.112,-0.195
0.402,-0.049,0.005,0.054,0.024,-0.054,0.029,-0.024,-0.029,-0.059,-0.049,-0.083,-0.19
0.404,-0.044,0.029,0.073,0.01,-0.059,0.049,-0.024,-0.02,-0.059,-0.059,-0.107,-0.2
0.406,-0.034,0.005,0.039,0.015,-0.039,0.02,-0.01,-0.015,-0.054,-0.054,-0.132,-0.195
0.408,-0.044,-0.024,0.02,0.034,-0.034,-0.005,-0.005,-0.015,-0.044,-0.039,-0.127,-0.176
0.41,-0.049,-0.054,-0.005,0.054,-0.024,-0.029,-0.005,-0.01,-0.049,-0.039,-0.122,-0.161
0.412,-0.054,-0.059,-0.005,0.059,-0.024,-0.034,-0.02,-0.024,-0.059,-0.054,-0.122,-0.156
0.414,-0.044,-0.049,-0.005,0.049,-0.02,-0.029,-0.015,-0.015,-0.049,-0.059,-0.117,-0.166
0.416,-0.034,-0.024,0.01,0.029,-0.024,-0.01,-0.01,-0.01,-0.039,-0.044,-0.098,-0.161
0.418,-0.034,0.005,0.039,0.015,-0.039,0.02,-0.005,-0.024,-0.044,-0.049,-0.102,-0.181
0.42,-0.059,-0.015,0.044,0.039,-0.054,0.015,-0.01,-0.029,-0.059,-0.059,-0.117,-0.19
0.422,-0.063,0.005,0.068,0.029,-0.068,0.034,-0.005,-0.02,-0.054,-0.059,-0.083,-0.181
0.424,-0.044,0.02,0.063,0.015,-0.054,0.039,0.0,-0.015,-0.049,-0.063,-0.088,-0.185
0.426,-0.063,-0.02,0.044,0.044,-0.054,0.01,0.0,-0.005,-0.044,-0.054,-0.112,-0.195
0.428,-0.068,-0.044,0.024,0.059,-0.049,-0.01,0.005,-0.005,-0.049,-0.059,-0.122,-0.195
0.43,-0.049,-0.034,0.015,0.044,-0.034,-0.01,-0.005,-0.005,-0.044,-0.054,-0.122,-0.181
0.432,-0.044,-0.02,0.024,0.034,-0.034,0.0,-0.015,-0.01,-0.044,-0.054,-0.112,-0.171
0.434,-0.044,-0.029,0.015,0.039,-0.029,-0.01,-0.005,-0.015,-0.054,-0.059,-0.112,-0.171
0.436,-0.073,-0.034,0.039,0.054,-0.059,0.0,-0.02,-0.034,-0.078,-0.078,-0.117,-0.181
0.438,-0.059,0.01,0.068,0.024,-0.063,0.039,-0.005,-0.034,-0.073,-0.073,-0.117,-0.181
0.44,-0.054,0.0,0.054,0.029,-0.054,0.024,0.005,-0.029,-0.068,-0.063,-0.112,-0.171
0.442,-0.068,0.005,0.073,0.034,-0.073,0.039,-0.015,-0.039,-0.068,-0.059,-0.083,-0.161
0.444,-0.078,0.01,0.088,0.034,-0.083,0.049,-0.02,-0.029,-0.073,-0.063,-0.098,-0.176
0.446,-0.083,-0.02,0.063,0.054,-0.073,0.02,-0.01,-0.024,-0.073,-0.063,-0.122,-0.185
0.448,-0.073,-0.039,0.034,0.059,-0.054,-0.005,-0.01,-0.024,-0.078,-0.068,-0.132,-0.185
0.45,-0.034,-0.01,0.024,0.024,-0.029,0.005,0.0,-0.015,-0.063,-0.054,-0.122,-0.171
0.452,-0.024,0.015,0.039,0.005,-0.034,0.024,0.005,-0.015,-0.049,-0.049,-0.102,-0.156
0.454,-0.029,0.005,0.034,0.015,-0.034,0.02,0.0,-0.02,-0.063,-0.049,-0.102,-0.156
0.456,-0.034,0.0,0.034,0.02,-0.034,0.015,0.01,0.0,-0.059,-0.059,-0.088,-0.142
0.458,-0.063,-0.015,0.049,0.039,-0.059,0.015,0.0,-0.02,-0.088,-0.083,-0.107,-0.166
0.46,-0.049,-0.015,0.034,0.034,-0.044,0.01,0.005,-0.024,-0.078,-0.073,-0.122,-0.166
0.462,-0.054,0.0,0.054,0.029,-0.054,0.024,0.0,-0.02,-0.068,-0.063,-0.088,-0.146
0.464,-0.068,-0.01,0.059,0.039,-0.063,0.024,0.005,-0.015,-0.059,-0.059,-0.083,-0.151
0.466,-0.039,0.0,0.039,0.02,-0.039,0.02,0.02,-0.005,-0.054,-0.073,-0.112,-0.161
0.468,-0.02,0.01,0.029,0.005,-0.024,0.02,0.029,0.01,-0.049,-0.073,-0.107,-0.146
0.47,-0.034,0.0,0.034,0.02,-0.034,0.015,0.02,-0.01,-0.059,-0.078,-0.117,-0.156
0.472,-0.034,0.015,0.049,0.01,-0.044,0.029,0.0,-0.02,-0.054,-0.078,-0.112,-0.156
0.474,-0.034,0.024,0.059,0.005,-0.049,0.039,-0.01,-0.015,-0.063,-0.093,-0.112,-0.161
