Time (s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.302,-0.102,-0.049,0.054,0.078,-0.078,0.0,0.039,0.161,-0.005,0.22,0.21,0.0
0.304,-0.112,-0.107,0.005,0.112,-0.059,-0.054,0.044,0.171,-0.005,0.224,0.215,0.0
0.306,-0.107,-0.098,0.01,0.102,-0.059,-0.044,0.049,0.171,-0.005,0.22,0.215,0.0
0.308,-0.083,-0.073,0.01,0.078,-0.049,-0.034,0.054,0.181,0.005,0.229,0.22,0.0
0.31,-0.073,-0.063,0.01,0.068,-0.044,-0.029,0.068,0.195,0.015,0.239,0.234,0.0
0.312,-0.024,-0.024,0.0,0.024,-0.015,-0.015,0.078,0.205,0.024,0.244,0.244,0.0
0.314,-0.02,-0.015,0.005,0.02,-0.015,-0.005,0.073,0.2,0.029,0.244,0.239,0.0
0.316,-0.073,-0.078,-0.005,0.078,-0.034,-0.044,0.073,0.2,0.029,0.244,0.239,0.0
0.318,-0.068,-0.073,-0.005,0.073,-0.034,-0.039,0.078,0.205,0.029,0.249,0.239,0.0
0.32,-0.039,-0.054,-0.015,0.049,-0.015,-0.034,0.083,0.215,0.039,0.254,0.244,0.0
0.322,-0.073,-0.083,-0.01,0.078,-0.034,-0.049,0.078,0.205,0.029,0.244,0.244,0.0
0.324,-0.102,-0.102,0.0,0.102,-0.054,-0.054,0.044,0.161,-0.01,0.21,0.205,0.0
0.326,-0.127,-0.146,-0.02,0.137,-0.054,-0.083,0.029,0.142,-0.034,0.181,0.171,0.0
0.328,-0.102,-0.181,-0.078,0.142,-0.015,-0.132,0.073,0.176,-0.005,0.215,0.21,0.0
0.33,-0.078,-0.137,-0.059,0.107,-0.01,-0.098,0.073,0.176,-0.005,0.215,0.21,0.0
0.332,-0.073,-0.137,-0.063,0.107,-0.005,-0.102,0.068,0.166,-0.015,0.21,0.205,0.0
0.334,-0.078,-0.137,-0.059,0.107,-0.01,-0.098,0.068,0.181,-0.005,0.215,0.215,0.0
0.336,-0.068,-0.117,-0.049,0.093,-0.01,-0.083,0.073,0.185,0.01,0.224,0.224,0.0
0.338,-0.063,-0.107,-0.044,0.088,-0.01,-0.078,0.073,0.19,0.01,0.224,0.224,0.0
0.34,-0.024,-0.093,-0.068,0.059,0.02,-0.083,0.083,0.2,0.02,0.229,0.234,0.0
0.342,-0.054,-0.107,-0.054,0.083,0.0,-0.083,0.083,0.2,0.02,0.234,0.234,0.0
0.344,-0.073,-0.117,-0.044,0.098,-0.015,-0.083,0.078,0.195,0.01,0.224,0.229,0.0
0.346,-0.068,-0.137,-0.068,0.102,0.0,-0.102,0.068,0.185,-0.005,0.205,0.22,0.0
0.348,-0.073,-0.151,-0.078,0.112,0.0,-0.117,0.068,0.185,-0.005,0.205,0.22,0.0
0.35,-0.078,-0.151,-0.073,0.117,-0.005,-0.112,0.059,0.176,-0.015,0.2,0.205,0.0
0.352,-0.098,-0.166,-0.068,0.132,-0.015,-0.117,0.054,0.166,-0.015,0.19,0.2,0.0
0.354,-0.107,-0.156,-0.049,0.132,-0.029,-0.102,0.068,0.176,0.0,0.205,0.215,0.0
0.356,-0.112,-0.166,-0.054,0.142,-0.029,-0.112,0.063,0.171,0.005,0.21,0.21,0.0
0.358,-0.117,-0.185,-0.068,0.151,-0.024,-0.127,0.063,0.176,0.0,0.205,0.21,0.0
0.36,-0.088,-0.166,-0.078,0.127,-0.005,-0.122,0.078,0.181,0.01,0.21,0.22,0.0
0.362,-0.073,-0.156,-0.083,0.117,0.005,-0.122,0.093,0.2,0.015,0.224,0.224,0.0
0.364,-0.049,-0.142,-0.093,0.098,0.02,-0.117,0.093,0.21,0.024,0.22,0.224,0.0
0.366,-0.015,-0.102,-0.088,0.059,0.034,-0.098,0.112,0.229,0.029,0.22,0.22,0.0
0.368,-0.034,-0.127,-0.093,0.083,0.029,-0.112,0.117,0.249,0.034,0.224,0.215,0.0
0.37,-0.024,-0.151,-0.127,0.088,0.049,-0.142,0.117,0.273,0.044,0.224,0.21,0.0
0.372,-0.015,-0.142,-0.127,0.078,0.054,-0.137,0.122,0.303,0.073,0.229,0.215,0.0
0.374,-0.024,-0.142,-0.117,0.083,0.044,-0.132,0.127,0.322,0.102,0.254,0.229,0.0
0.376,-0.015,-0.132,-0.117,0.073,0.049,-0.127,0.132,0.342,0.142,0.293,0.268,0.0
0.378,-0.01,-0.142,-0.132,0.078,0.059,-0.137,0.127,0.366,0.205,0.351,0.303,0.0
0.38,0.044,-0.156,-0.2,0.059,0.122,-0.181,0.098,0.386,0.283,0.425,0.361,0.0
0.382,0.107,-0.146,-0.254,0.02,0.181,-0.2,0.078,0.415,0.386,0.542,0.444,0.0
0.384,0.137,-0.102,-0.239,-0.015,0.185,-0.171,0.054,0.454,0.512,0.673,0.551,0.0
0.386,0.132,-0.044,-0.176,-0.044,0.151,-0.112,0.034,0.488,0.63,0.786,0.639,0.0
0.388,0.151,-0.015,-0.166,-0.068,0.156,-0.093,0.005,0.517,0.737,0.898,0.717,0.0
0.39,0.21,0.049,-0.161,-0.127,0.185,-0.059,-0.015,0.551,0.859,1.03,0.825,0.0
0.392,0.254,0.059,-0.195,-0.156,0.224,-0.068,-0.039,0.6,0.991,1.166,0.937,0.0
0.394,0.273,0.059,-0.215,-0.166,0.244,-0.078,-0.059,0.654,1.113,1.283,1.03,0.0
0.396,0.322,0.083,-0.239,-0.2,0.278,-0.078,-0.083,0.693,1.23,1.405,1.127,0.0
0.398,0.4,0.151,-0.249,-0.273,0.322,-0.049,-0.098,0.727,1.342,1.523,1.23,0.0
0.4,0.464,0.21,-0.254,-0.337,0.356,-0.024,-0.102,0.742,1.405,1.581,1.274,0.0
0.402,0.468,0.185,-0.283,-0.327,0.376,-0.049,-0.073,0.737,1.371,1.547,1.249,0.0
0.404,0.415,0.171,-0.244,-0.293,0.327,-0.039,-0.039,0.703,1.21,1.376,1.127,0.0
0.406,0.307,0.137,-0.171,-0.22,0.239,-0.02,0.005,0.6,0.913,1.083,0.913,0.0
0.408,0.181,0.098,-0.083,-0.137,0.132,0.005,0.073,0.493,0.6,0.791,0.708,0.0
0.41,0.054,0.073,0.02,-0.063,0.015,0.044,0.127,0.381,0.332,0.547,0.537,0.0
0.412,-0.107,0.015,0.122,0.049,-0.117,0.068,0.161,0.205,-0.01,0.249,0.337,0.0
0.414,-0.259,-0.049,0.21,0.156,-0.234,0.078,0.215,0.015,-0.386,-0.078,0.098,0.0
0.416,-0.327,-0.117,0.21,0.224,-0.268,0.044,0.268,-0.049,-0.59,-0.288,-0.073,0.0
0.418,-0.346,-0.22,0.127,0.283,-0.239,-0.049,0.317,-0.039,-0.688,-0.415,-0.2,0.0
0.42,-0.366,-0.278,0.088,0.322,-0.229,-0.098,0.322,-0.039,-0.727,-0.483,-0.273,0.0
0.422,-0.4,-0.327,0.073,0.366,-0.239,-0.127,0.337,-0.024,-0.727,-0.498,-0.298,0.0
0.424,-0.425,-0.351,0.073,0.39,-0.249,-0.142,0.337,0.0,-0.698,-0.488,-0.303,0.0
0.426,-0.41,-0.346,0.063,0.381,-0.239,-0.142,0.346,0.044,-0.649,-0.449,-0.288,0.0
0.428,-0.425,-0.303,0.122,0.366,-0.273,-0.093,0.381,0.117,-0.571,-0.39,-0.244,0.0
0.43,-0.449,-0.268,0.181,0.361,-0.317,-0.044,0.439,0.215,-0.488,-0.322,-0.205,0.0
0.432,-0.459,-0.268,0.19,0.366,-0.327,-0.039,0.478,0.278,-0.444,-0.293,-0.195,0.0
0.434,-0.464,-0.268,0.195,0.366,-0.332,-0.039,0.483,0.278,-0.429,-0.283,-0.195,0.0
0.436,-0.493,-0.278,0.215,0.386,-0.356,-0.034,0.493,0.273,-0.425,-0.273,-0.19,0.0
0.438,-0.488,-0.264,0.224,0.376,-0.356,-0.02,0.517,0.298,-0.4,-0.259,-0.185,0.0
0.44,-0.434,-0.244,0.19,0.342,-0.312,-0.029,0.561,0.376,-0.346,-0.22,-0.161,0.0
0.442,-0.4,-0.249,0.151,0.327,-0.278,-0.049,0.62,0.468,-0.273,-0.166,-0.122,0.0
0.444,-0.361,-0.244,0.117,0.303,-0.239,-0.063,0.659,0.542,-0.21,-0.117,-0.083,0.0
0.446,-0.332,-0.2,0.132,0.268,-0.234,-0.034,0.688,0.561,-0.181,-0.083,-0.059,0.0
0.448,-0.327,-0.195,0.132,0.264,-0.229,-0.034,0.717,0.566,-0.161,-0.063,-0.039,0.0
0.45,-0.337,-0.185,0.151,0.264,-0.244,-0.02,0.732,0.556,-0.151,-0.044,-0.029,0.0
0.452,-0.342,-0.181,0.161,0.264,-0.254,-0.01,0.756,0.576,-0.137,-0.034,-0.024,0.0
0.454,-0.356,-0.19,0.166,0.273,-0.264,-0.015,0.786,0.586,-0.122,-0.02,-0.01,0.0
0.456,-0.371,-0.181,0.19,0.278,-0.283,0.005,0.81,0.595,-0.117,-0.015,-0.01,0.0
0.458,-0.356,-0.156,0.2,0.259,-0.278,0.02,0.849,0.625,-0.098,0.005,0.0,0.0
0.46,-0.361,-0.171,0.19,0.268,-0.278,0.01,0.888,0.644,-0.083,0.015,0.005,0.0
0.462,-0.39,-0.224,0.166,0.307,-0.278,-0.029,0.917,0.669,-0.063,0.034,0.02,0.0
0.464,-0.376,-0.234,0.142,0.307,-0.259,-0.049,0.913,0.639,-0.073,0.029,0.024,0.0
0.466,-0.346,-0.229,0.117,0.288,-0.234,-0.059,0.874,0.586,-0.088,0.034,0.034,0.0
0.468,-0.327,-0.215,0.112,0.273,-0.22,-0.054,0.825,0.532,-0.083,0.049,0.054,0.0
0.47,-0.307,-0.215,0.093,0.264,-0.2,-0.063,0.771,0.478,-0.093,0.059,0.068,0.0
0.472,-0.273,-0.205,0.068,0.239,-0.171,-0.068,0.712,0.425,-0.098,0.063,0.083,0.0
0.474,-0.244,-0.215,0.029,0.229,-0.137,-0.093,0.664,0.39,-0.093,0.078,0.093,0.0
0.476,-0.229,-0.22,0.01,0.224,-0.122,-0.107,0.625,0.361,-0.098,0.078,0.098,0.0
0.478,-0.215,-0.21,0.005,0.215,-0.112,-0.102,0.6,0.351,-0.093,0.093,0.112,0.0
0.48,-0.205,-0.224,-0.02,0.215,-0.093,-0.122,0.581,0.342,-0.098,0.088,0.107,0.0
0.482,-0.19,-0.234,-0.044,0.215,-0.073,-0.142,0.551,0.332,-0.093,0.098,0.117,0.0
0.484,-0.195,-0.264,-0.068,0.229,-0.063,-0.166,0.503,0.307,-0.088,0.107,0.127,0.0
0.486,-0.185,-0.283,-0.098,0.234,-0.044,-0.19,0.439,0.264,-0.083,0.122,0.137,0.0
